Arv,D,H,V,QF
1,83,9,4.56,I
2,90.4,18,7.68,I
3,95.17,14,6.71,I
4,86.58,16,5.16,II
5,96.45,14,5.81,II
6,57.93,17,2.91,II
7,76.39,14,5.12,II
8,76.08,16,4.8,I
9,76.39,15,4.1,I
10,66.85,18,3.44,III
11,124.14,12,11.06,III
12,101.22,14,7.22,III
13,73.53,17,5.43,III
14,75.12,12,3.13,III
15,77.35,13,4,III
16,82.12,16,6.18,III
17,75.76,13,3.15,III
18,76.39,12,4.13,II
19,98.36,19,9.38,II
20,86,16,6.56,II
21,63,15,1.89,II
22,59,10,2.22,II
23,140.06,15,11.83,II
24,95.49,12,6.2,I
25,74.48,12,4.1,I
26,57.93,18,2.29,I
27,82.76,13,3.78,I
28,128.92,18,17.58,I
29,70.03,14,4.79,I
30,102.81,17,7.49,I
31,85.94,16,7.58,I
32,70.66,9,2.88,I
